x,y,cluster
2.1364,0.8369,1
7.4096,-1.4137,3
5.0996,1.1552,0
7.8149,-1.0186,3
1.8925,1.2714,1
0.2617,3.4376,1
1.597,-1.8082,2
4.3812,1.4137,0
8.4321,-0.2049,3
8.6604,-0.7111,3
2.7778,-1.7124,2
8.3539,-2.67,3
4.504,1.2426,0
6.8948,-2.2278,3
-0.0292,1.4551,1
3.9565,0.4538,0
4.5307,1.0692,0
0.507,2.5694,1
3.1317,-1.0669,2
2.2045,-1.0786,2
1.2908,2.7151,1
1.1866,1.7771,1
5.0373,0.7344,0
2.8516,-1.9965,2
2.6052,-1.9183,2
4.696,-0.5555,0
0.8661,1.6975,1
4.7096,0.5948,0
2.3044,-2.8802,2
4.0268,0.1867,0
7.8744,-0.5133,3
7.3785,-2.057,3
4.1807,1.8727,0
6.7665,-1.1312,3
7.941,-1.6443,3
7.4395,-2.4193,3
7.4842,-2.0161,3
7.9864,-2.6214,3
2.4795,-2.203,2
0.6631,1.6638,1
3.5954,0.6698,0
2.0552,-1.9854,2
5.4743,-0.0475,0
4.2108,1.5446,0
2.461,-1.702,2
2.7682,-1.0219,2
8.1027,-1.3784,3
2.7457,-1.5522,2
7.5692,-1.479,3
1.5098,1.9889,1
3.4838,-1.9497,2
0.6212,2.4551,1
7.6171,-0.8943,3
0.7549,1.6969,1
2.0554,1.7564,1
2.8221,-1.1106,2
7.8087,-0.0415,3
1.9755,-1.1409,2
7.7283,-1.8063,3
0.929,1.3926,1
7.3021,-2.257,3
4.3229,0.5717,0
9.2829,-1.5499,3
2.9532,-1.0382,2
3.1068,-2.1096,2
2.7843,-1.1865,2
7.5118,-2.4581,3
0.9507,2.3696,1
7.8477,-2.6668,3
3.2142,-1.4972,2
4.1788,1.3222,0
3.3286,-0.4873,2
8.063,-1.0372,3
2.9743,-1.605,2
1.9239,-1.5037,2
8.4531,-0.7854,3
2.9745,-1.7578,2
4.7277,1.1901,0
0.7061,2.1404,1
8.2056,-1.0354,3
0.0896,1.2547,1
4.0861,0.5957,0
1.0579,1.2796,1
1.1473,1.7296,1
8.4642,-0.949,3
5.3318,0.9353,0
0.7947,2.3692,1
4.974,0.4286,0
6.6543,-2.0476,3
7.4867,-1.4567,3
3.8079,0.5294,0
0.9082,1.7819,1
8.6163,-1.9558,3
3.0119,-1.7457,2
3.1277,-1.1798,2
3.7913,1.1641,0
1.3664,1.3616,1
1.088,2.6014,1
5.47,0.2724,0
3.2817,-3.1224,2
8.6143,-0.5881,3
-0.4364,1.6691,1
7.6749,-0.6828,3
0.5522,2.3679,1
4.545,1.0524,0
1.263,2.2271,1
-0.0725,2.4393,1
4.8571,1.3447,0
6.839,-1.3145,3
5.3753,0.9826,0
2.2076,-1.063,2
3.5645,-1.6071,2
0.4839,1.5732,1
8.0859,-2.1785,3
0.754,1.8338,1
3.4951,2.1062,0
7.5269,-1.6434,3
1.2639,1.1055,1
1.8235,1.6115,1
5.4498,0.4595,0
3.0164,-0.538,2
0.609,1.6784,1
3.6025,-1.0121,2
0.5936,1.342,1
1.6244,1.4281,1
1.1252,2.0451,1
0.6593,1.6728,1
2.322,-1.3586,2
0.9356,1.1308,1
1.948,-1.739,2
8.1673,-0.3403,3
2.4333,-1.6379,2
2.2411,-1.6875,2
-0.0636,2.4304,1
7.185,-1.38,3
2.3391,-1.2525,2
3.3981,-2.3948,2
7.4814,-2.0918,3
3.268,0.4884,0
7.4563,-0.5394,3
8.0764,-2.592,3
2.9648,-1.0466,2
3.382,1.2557,0
4.2719,-1.6215,2
5.4413,1.8692,0
